Model,mcp_hamming_loss,mcp_jaccard_mean,mcp_macro_f1,mcp_micro_f1,mcp_micro_precision,mcp_micro_recall,mcp_samples_f1,mcp_samples_precision,mcp_samples_recall,mcp_subset_accuracy,step_accuracy,step_macro_f1,step_weighted_f1
baseline_zeroshot,0.2432157394843962,0.3923899172966337,0.34729371104335033,0.4049792531120332,0.28773584905660377,0.6834733893557423,0.4842242956048926,0.4373526038637978,0.7263681592039801,0.1865671641791045,0.4291044776119403,0.3358055623772037,0.49038801891725614
baseline_3shot,0.13805970149253732,0.578932448148866,0.47396224346569277,0.5799793601651186,0.4591503267973856,0.7871148459383753,0.6617038434202613,0.6262583187956322,0.8208955223880597,0.3619402985074627,0.5298507462686567,0.3913993529544537,0.5413959072422225
baseline_5shot,0.1322930800542741,0.5620210635136008,0.46038922242688013,0.5833333333333334,0.47150259067357514,0.7647058823529411,0.6461367612487016,0.6164986754538994,0.7947761194029851,0.3208955223880597,0.6044776119402985,0.454635083978822,0.6122675420140585
paper_stepcnn_gpt2,0.04375848032564451,0.7817164179104478,0.27108599845771925,0.43171806167400884,0.47572815533980584,0.3951612903225806,0.14800995024875624,0.15298507462686567,0.15609452736318408,0.7388059701492538,0.7686567164179104,0.4382059793522244,0.7616648070006279
stage1,0.062075983717774764,0.7052238805970149,0.6286095926136473,0.7296898079763663,0.771875,0.6918767507002801,0.7513681592039801,0.792910447761194,0.7580845771144278,0.5634328358208955,0.7686567164179104,0.5258204973861426,0.7767860528330579
stage2,0.07360922659430122,0.6340174129353233,0.45678414753994157,0.6593406593406593,0.75,0.5882352941176471,0.6733830845771144,0.7350746268656716,0.6536069651741293,0.5223880597014925,0.8097014925373134,0.5458901819357677,0.7961903758221555
stage3,0.0773405698778833,0.6520255863539445,0.5123142166471721,0.6597014925373135,0.7060702875399361,0.6190476190476191,0.692296074572194,0.7450248756218906,0.6791044776119403,0.5410447761194029,0.7910447761194029,0.5086326758008387,0.7820645116106476
