Model,step_accuracy,step_micro_f1,step_macro_f1,mcp_samples_f1,mcp_micro_f1,mcp_macro_f1,mcp_subset_accuracy,mcp_missing_tool_rate,mcp_extra_tool_rate,explanation_judge_accuracy
baseline_zeroshot,0.458955223880597,0.458955223880597,0.3600360310653748,0.4842242956048926,0.4049792531120332,0.34729371104335033,0.1865671641791045,0.27091136079900124,0.5456957448236518,
baseline_3shot,0.5447761194029851,0.5447761194029851,0.4112952767607267,0.6617038434202613,0.5799793601651186,0.47396224346569277,0.3619402985074627,0.1760299625468165,0.3666519643878135,
baseline_5shot,0.6156716417910447,0.6156716417910447,0.4618537326741414,0.6461367612487016,0.5833333333333334,0.46038922242688013,0.3208955223880597,0.20224719101123595,0.3669668773117049,
stage1,0.8059701492537313,0.8059701492537313,0.6013173801450469,0.7840796019900497,0.7652916073968705,0.6577368348502147,0.6082089552238806,0.1947565543071161,0.1704834605597964,
stage2,0.8059701492537313,0.8059701492537313,0.4861195752145111,0.6924129353233831,0.655436447166922,0.46425870736400476,0.5335820895522388,0.31835205992509363,0.22692307692307692,0.5696
stage3,0.7985074626865671,0.7985074626865671,0.5042871597938441,0.7430348258706468,0.7250755287009063,0.5645079756160514,0.5783582089552238,0.27153558052434457,0.18161577608142493,0.6265999999999999
pen_strategist_paper_reported,0.7649,0.7649,0.5521,0.6525,0.6541,0.4522,0.4515,0.3152,0.279,
