Model,mcp_macro_f1,mcp_micro_f1,mcp_subset_accuracy,step_accuracy,step_macro_f1,step_weighted_f1
baseline_zeroshot,0.4237222102578988,0.3918918918918919,0.2126865671641791,0.48507462686567165,0.3554699438257327,0.5134040787625056
baseline_3shot,0.46110876385195765,0.5172932330827068,0.35447761194029853,0.6268656716417911,0.4297060985899213,0.6419168659799904
baseline_5shot,0.49917474015237207,0.5905292479108635,0.332089552238806,0.6716417910447762,0.484604944800119,0.6823683573133464
stage2,0.6513777812074193,0.7217806041335453,0.5671641791044776,0.9925373134328358,0.8073064194784639,0.9945190089479128
stage3,0.6429156194589757,0.7602523659305994,0.5895522388059702,0.9888059701492538,0.8037475209290612,0.9907994318236799
