Model,step_accuracy,step_micro_f1,step_macro_f1,mcp_samples_f1,mcp_micro_f1,mcp_macro_f1,mcp_subset_accuracy,mcp_missing_tool_rate,mcp_extra_tool_rate,explanation_judge_accuracy
baseline_zeroshot,0.4552238805970149,0.4552238805970149,0.3526518503988668,0.4842242956048926,0.4049792531120332,0.34729371104335033,0.1865671641791045,0.27091136079900124,0.5456957448236518,
baseline_3shot,0.5485074626865671,0.5485074626865671,0.40975474665036626,0.6617038434202613,0.5799793601651186,0.47396224346569277,0.3619402985074627,0.1760299625468165,0.3666519643878135,
baseline_5shot,0.6119402985074627,0.6119402985074627,0.4663704358654968,0.6461367612487016,0.5833333333333334,0.46038922242688013,0.3208955223880597,0.20224719101123595,0.3669668773117049,
stage1,0.8059701492537313,0.8059701492537313,0.5746381881887885,0.7511194029850746,0.7267355982274741,0.6582930991856352,0.5597014925373134,0.24157303370786518,0.18948035487959441,
stage2,0.75,0.75,0.524571710373798,0.6165422885572139,0.6131147540983607,0.4042532795667684,0.48134328358208955,0.40699126092384513,0.24173553719008264,0.6327
stage3,0.7388059701492538,0.7388059701492538,0.5085993812422694,0.6248756218905472,0.6260296540362438,0.4284472834919408,0.4925373134328358,0.39762796504369535,0.22268907563025211,0.6214
pen_strategist_paper_reported,0.8287,0.8,,,0.64,,0.4888,,,
